Name and Lastname; ID; email adress
Samuel Jackson; 10124585611; samuelJ@mail.com
Robert Downey; 4525111559; rdownironman@mail.c
Douglas Adams; 14884674721; zaphodbeeblebrox@mail.com
Stephen Wolfram; 74682868914; wolframalpha@mail.com
Cleve Moler; 17463589721; chiefmathematician@mail.com
Matt Parker; 18457956247; parkersquare@mail.com
Brady Haran; 17694858874; numberphile@mail.com
Emily Graslie; 17973595287; brainscoop@mial.com
Derek Muller; 17954965491; veritasium@mail.com
Destin Sandlin; 17895782879; smarter@mail.com
Freddy Vega; 17795795697; fredier@mail.com
Stanislaw Lem; 19748659471; golem@mail.com
Isaac Asimov; 13589844557; robots@mail.com
Susan Calvin; 47958446526; susan@R_MM_Inc.gov
R Daneel Olivaw; 10001110101; dolivaw@mail.com
Elijah Baley; 97565841047; lijahbaley@mail.com
